Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,test_size
DecisionTree,Anonymous,0.5,0.5476,0.5,0.5167,,,-0.0492,-0.051,,,,,,
DecisionTree,CTGAN,0.5208,0.5754,0.5208,0.5377,,,0.0108,0.0113,,,,,,
DecisionTree,GaussianCopula,0.5729,0.569,0.5729,0.5709,,,-0.0031,-0.0031,,,,,,
DecisionTree,Original,0.7188,0.7638,0.7188,0.7284,,,0.4146,0.4322,,,,,,
DecisionTree,TVAE,0.6458,0.6202,0.6458,0.6287,,,0.1111,0.1136,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6458,0.5789,0.6458,0.5912,,,0.0145,0.017,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6458,0.4633,0.6458,0.5396,,,-0.0794,-0.1406,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.6771,0.601,0.6771,0.5875,,,0.0275,0.0442,,,,,,
RandomForest,Anonymous,0.4271,0.4941,0.4271,0.448,,,-0.1549,-0.1658,,,,,,
RandomForest,CTGAN,0.6875,0.6316,0.6875,0.5781,,,0.0244,0.059,,,,,,
RandomForest,GaussianCopula,0.7083,0.6972,0.7083,0.6335,,,0.1318,0.1973,,,,,,
RandomForest,Original,0.7812,0.7741,0.7812,0.7753,,,0.4667,0.4705,,,,,,
RandomForest,TVAE,0.625,0.5888,0.625,0.6007,,,0.04,0.0415,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
DecisionTree,Anonymous,0.5,0.5402,0.5,0.5152,,,-0.0667,-0.0684,,,,,,
DecisionTree,CTGAN,0.5729,0.5843,0.5729,0.5781,,,0.0324,0.0325,,,,,,
DecisionTree,GaussianCopula,0.625,0.6042,0.625,0.6123,,,0.0769,0.0778,,,,,,
DecisionTree,Original,0.7292,0.7786,0.7292,0.7387,,,0.4409,0.4623,,,,,,
DecisionTree,TVAE,0.4688,0.5282,0.4688,0.4878,,,-0.088,-0.0929,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.5833,0.4974,0.5833,0.5301,,,-0.1348,-0.1512,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.5773,0.6771,0.5724,,,0.004,0.0081,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.5417,0.5028,0.5417,0.5195,,,-0.1503,-0.1537,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.6146,0.5178,0.6146,0.5495,,,-0.0842,-0.1014,,,,,,
RandomForest,Anonymous,0.4375,0.501,0.4375,0.4579,,,-0.1429,-0.1518,,,,,,
RandomForest,CTGAN,0.6771,0.5773,0.6771,0.5724,,,0.004,0.0081,,,,,,
RandomForest,GaussianCopula,0.7188,0.7176,0.7188,0.6522,,,0.1724,0.2431,,,,,,
RandomForest,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,TVAE,0.5833,0.5278,0.5833,0.5486,,,-0.0884,-0.0936,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6667,0.4681,0.6667,0.55,,,-0.0407,-0.0983,,,,,,
DecisionTree,Anonymous,0.4792,0.5201,0.4792,0.495,,,-0.1111,-0.114,,,,,,
DecisionTree,CTGAN,0.6146,0.6322,0.6146,0.6218,,,0.142,0.143,,,,,,
DecisionTree,GaussianCopula,0.5417,0.5576,0.5417,0.5488,,,-0.0292,-0.0294,,,,,,
DecisionTree,Original,0.7396,0.7841,0.7396,0.7485,,,0.458,0.4773,,,,,,
DecisionTree,TVAE,0.4271,0.4941,0.4271,0.448,,,-0.1549,-0.1658,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.625,0.5262,0.625,0.5559,,,-0.0667,-0.0828,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.4479,0.6451,0.4479,0.4298,,,0.0763,0.1152,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.6042,0.5281,0.6042,0.5536,,,-0.078,-0.0876,,,,,,
RandomForest,Anonymous,0.4792,0.5201,0.4792,0.495,,,-0.1111,-0.114,,,,,,
RandomForest,CTGAN,0.6458,0.5469,0.6458,0.5686,,,-0.0303,-0.0407,,,,,,
RandomForest,GaussianCopula,0.75,0.7616,0.75,0.7039,,,0.2889,0.3586,,,,,,
RandomForest,Original,0.8333,0.8317,0.8333,0.8253,,,0.5817,0.5949,,,,,,
RandomForest,TVAE,0.625,0.5262,0.625,0.5559,,,-0.0667,-0.0828,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6979,0.7901,0.6979,0.5838,,,0.0453,0.1522,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
DecisionTree,Anonymous,0.4792,0.5274,0.4792,0.4965,,,-0.0929,-0.0963,,,,,,
DecisionTree,CTGAN,0.3333,0.4306,0.3333,0.3464,,,-0.219,-0.2669,,,,,,
DecisionTree,GaussianCopula,0.5729,0.5523,0.5729,0.5613,,,-0.0413,-0.0416,,,,,,
DecisionTree,Original,0.7396,0.7841,0.7396,0.7485,,,0.458,0.4773,,,,,,
DecisionTree,TVAE,0.7812,0.7763,0.7812,0.7779,,,0.4766,0.478,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.5521,0.5301,0.5521,0.5399,,,-0.0921,-0.0928,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.3229,0.3852,0.3229,0.3472,,,-0.3867,-0.4081,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
RandomForest,Anonymous,0.4583,0.5073,0.4583,0.4764,,,-0.1366,-0.1416,,,,,,
RandomForest,CTGAN,0.5729,0.5077,0.5729,0.533,,,-0.1271,-0.1361,,,,,,
RandomForest,GaussianCopula,0.7188,0.7176,0.7188,0.6522,,,0.1724,0.2431,,,,,,
RandomForest,Original,0.7812,0.7741,0.7812,0.7753,,,0.4667,0.4705,,,,,,
RandomForest,TVAE,0.7396,0.77,0.7396,0.678,,,0.2337,0.3295,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.5,0.5402,0.5,0.5152,,,-0.0667,-0.0684,,,,,,
DecisionTree,CTGAN,0.6042,0.6042,0.6042,0.6042,,,0.0788,0.0788,,,,,,
DecisionTree,GaussianCopula,0.6354,0.612,0.6354,0.6205,,,0.0939,0.0954,,,,,,
DecisionTree,Original,0.7188,0.7638,0.7188,0.7284,,,0.4146,0.4322,,,,,,
DecisionTree,TVAE,0.5729,0.6067,0.5729,0.5851,,,0.0812,0.0829,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4271,0.4805,0.4271,0.4468,,,-0.1924,-0.2005,,,,,,
RandomForest,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.7188,0.7411,0.7188,0.6407,,,0.1529,0.2465,,,,,,
RandomForest,Original,0.8021,0.8004,0.8021,0.8012,,,0.5352,0.5353,,,,,,
RandomForest,TVAE,0.7188,0.7163,0.7188,0.7174,,,0.3394,0.3396,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4792,0.5274,0.4792,0.4965,,,-0.0929,-0.0963,,,,,,
DecisionTree,CTGAN,0.5104,0.554,0.5104,0.5261,,,-0.0358,-0.0369,,,,,,
DecisionTree,GaussianCopula,0.5833,0.5756,0.5833,0.5793,,,0.0123,0.0124,,,,,,
DecisionTree,Original,0.7188,0.7638,0.7188,0.7284,,,0.4146,0.4322,,,,,,
DecisionTree,TVAE,0.7292,0.7122,0.7292,0.7116,,,0.3067,0.3182,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4479,0.5007,0.4479,0.4669,,,-0.1491,-0.1553,,,,,,
RandomForest,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.7604,0.7733,0.7604,0.72,,,0.326,0.3925,,,,,,
RandomForest,Original,0.8333,0.8317,0.8333,0.8253,,,0.5817,0.5949,,,,,,
RandomForest,TVAE,0.625,0.6113,0.625,0.6171,,,0.0943,0.0948,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4896,0.5412,0.4896,0.5072,,,-0.0623,-0.065,,,,,,
DecisionTree,CTGAN,0.4583,0.4678,0.4583,0.4629,,,-0.2381,-0.2384,,,,,,
DecisionTree,GaussianCopula,0.6667,0.6437,0.6667,0.6505,,,0.1634,0.1671,,,,,,
DecisionTree,Original,0.7083,0.7583,0.7083,0.7186,,,0.3978,0.4172,,,,,,
DecisionTree,TVAE,0.625,0.6388,0.625,0.6309,,,0.1579,0.1586,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4375,0.501,0.4375,0.4579,,,-0.1429,-0.1518,,,,,,
RandomForest,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.7083,0.6972,0.7083,0.6335,,,0.1318,0.1973,,,,,,
RandomForest,Original,0.8333,0.8299,0.8333,0.8277,,,0.5897,0.5968,,,,,,
RandomForest,TVAE,0.7708,0.7615,0.7708,0.756,,,0.4133,0.4289,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4688,0.521,0.4688,0.487,,,-0.1057,-0.1102,,,,,,
DecisionTree,CTGAN,0.5312,0.5895,0.5312,0.5481,,,0.04,0.0422,,,,,,
DecisionTree,GaussianCopula,0.5729,0.569,0.5729,0.5709,,,-0.0031,-0.0031,,,,,,
DecisionTree,Original,0.7188,0.7733,0.7188,0.7288,,,0.424,0.4475,,,,,,
DecisionTree,TVAE,0.7083,0.6907,0.7083,0.6942,,,0.268,0.274,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4375,0.501,0.4375,0.4579,,,-0.1429,-0.1518,,,,,,
RandomForest,CTGAN,0.6979,0.7901,0.6979,0.5838,,,0.0453,0.1522,,,,,,
RandomForest,GaussianCopula,0.7708,0.8281,0.7708,0.7209,,,0.3333,0.4472,,,,,,
RandomForest,Original,0.8333,0.8317,0.8333,0.8253,,,0.5817,0.5949,,,,,,
RandomForest,TVAE,0.6562,0.647,0.6562,0.651,,,0.1776,0.1781,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4583,0.5073,0.4583,0.4764,,,-0.1366,-0.1416,,,,,,
DecisionTree,CTGAN,0.3646,0.5005,0.3646,0.3504,,,-0.0773,-0.112,,,,,,
DecisionTree,GaussianCopula,0.6042,0.5969,0.6042,0.6003,,,0.0617,0.0618,,,,,,
DecisionTree,Original,0.7292,0.7695,0.7292,0.7382,,,0.4317,0.4474,,,,,,
DecisionTree,TVAE,0.6979,0.6901,0.6979,0.6933,,,0.2773,0.278,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4792,0.5126,0.4792,0.493,,,-0.1299,-0.1321,,,,,,
RandomForest,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
RandomForest,GaussianCopula,0.7396,0.77,0.7396,0.678,,,0.2337,0.3295,,,,,,
RandomForest,Original,0.8125,0.8078,0.8125,0.8086,,,0.5472,0.55,,,,,,
RandomForest,TVAE,0.6667,0.6729,0.6667,0.6695,,,0.2381,0.2384,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.5,0.5476,0.5,0.5167,,,-0.0492,-0.051,,,,,,
DecisionTree,CTGAN,0.5104,0.5615,0.5104,0.5273,,,-0.019,-0.0198,,,,,,
DecisionTree,GaussianCopula,0.5729,0.5609,0.5729,0.5664,,,-0.0218,-0.0219,,,,,,
DecisionTree,Original,0.7292,0.7695,0.7292,0.7382,,,0.4317,0.4474,,,,,,
DecisionTree,TVAE,0.625,0.6388,0.625,0.6309,,,0.1579,0.1586,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4583,0.5144,0.4583,0.4774,,,-0.1183,-0.124,,,,,,
RandomForest,CTGAN,0.6979,0.7901,0.6979,0.5838,,,0.0453,0.1522,,,,,,
RandomForest,GaussianCopula,0.7396,0.77,0.7396,0.678,,,0.2337,0.3295,,,,,,
RandomForest,Original,0.8125,0.8073,0.8125,0.8062,,,0.5385,0.5449,,,,,,
RandomForest,TVAE,0.7188,0.7011,0.7188,0.7029,,,0.2871,0.2956,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4896,0.5412,0.4896,0.5072,,,-0.0623,-0.065,,,,,,
DecisionTree,CTGAN,0.2917,0.3887,0.2917,0.2793,,,-0.2089,-0.2971,,,,,,
DecisionTree,GaussianCopula,0.5833,0.5676,0.5833,0.5746,,,-0.0063,-0.0063,,,,,,
DecisionTree,Original,0.7083,0.7583,0.7083,0.7186,,,0.3978,0.4172,,,,,,
DecisionTree,TVAE,0.6354,0.6049,0.6354,0.6149,,,0.0759,0.0781,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,,,0.0902,0.1454,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,,,0.0564,0.0619,,,,,,
RandomForest,Anonymous,0.4479,0.5078,0.4479,0.4677,,,-0.1307,-0.1379,,,,,,
RandomForest,CTGAN,0.6875,0.6316,0.6875,0.5781,,,0.0244,0.059,,,,,,
RandomForest,GaussianCopula,0.7604,0.8223,0.7604,0.7037,,,0.295,0.416,,,,,,
RandomForest,Original,0.8229,0.8185,0.8229,0.8181,,,0.5683,0.5729,,,,,,
RandomForest,TVAE,0.6562,0.6531,0.6562,0.6546,,,0.1927,0.1927,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4896,0.5338,0.4896,0.5059,,,-0.0799,-0.0823,,,,,,
DecisionTree,CTGAN,0.5312,0.5355,0.5312,0.5333,,,-0.0811,-0.0811,,,,,,
DecisionTree,GaussianCopula,0.5729,0.569,0.5729,0.5709,,,-0.0031,-0.0031,,,,,,
DecisionTree,Original,0.7083,0.7583,0.7083,0.7186,,,0.3978,0.4172,,,,,,
DecisionTree,TVAE,0.7396,0.7242,0.7396,0.7204,,,0.3266,0.342,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,,,0.0476,0.0843,,,,,,
