Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,test_size
DecisionTree,CTGAN,0.5772,0.5772,0.5772,0.5772,,,0.0099,0.0099,,,,,,
DecisionTree,GaussianCopula,0.561,0.5794,0.561,0.569,,,0.0148,0.0149,,,,,,
DecisionTree,Original,0.7398,0.7635,0.7398,0.7468,,,0.432,0.439,,,,,,
DecisionTree,TVAE,0.6992,0.6726,0.6992,0.6744,,,0.2092,0.2209,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6179,0.5709,0.6179,0.5864,,,-0.0045,-0.0048,,,,,,
RandomForest,CTGAN,0.6992,0.7904,0.6992,0.5834,,,0.036,0.1354,,,,,,
RandomForest,GaussianCopula,0.748,0.8153,0.748,0.6806,,,0.2379,0.3674,,,,,,
RandomForest,Original,0.8618,0.876,0.8618,0.8504,,,0.6367,0.6721,,,,,,
RandomForest,TVAE,0.7398,0.7547,0.7398,0.6824,,,0.2348,0.3162,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
