Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,test_size
DecisionTree,CTGAN,0.561,0.5545,0.561,0.5576,,,-0.0434,-0.0434,,,,,,
DecisionTree,GaussianCopula,0.561,0.5794,0.561,0.569,,,0.0148,0.0149,,,,,,
DecisionTree,Original,0.6911,0.7287,0.6911,0.7012,,,0.3434,0.3539,,,,,,
DecisionTree,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6016,0.559,0.6016,0.5747,,,-0.0304,-0.0316,,,,,,
RandomForest,CTGAN,0.6992,0.7904,0.6992,0.5834,,,0.036,0.1354,,,,,,
RandomForest,GaussianCopula,0.7073,0.6807,0.7073,0.6426,,,0.1392,0.1874,,,,,,
RandomForest,Original,0.8211,0.8195,0.8211,0.8103,,,0.541,0.5588,,,,,,
RandomForest,TVAE,0.748,0.7649,0.748,0.6958,,,0.2655,0.3454,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6341,0.6097,0.6341,0.6188,,,0.0832,0.0846,,,,,,
DecisionTree,CTGAN,0.5691,0.5594,0.5691,0.564,,,-0.0317,-0.0317,,,,,,
DecisionTree,GaussianCopula,0.5691,0.5843,0.5691,0.5759,,,0.0263,0.0264,,,,,,
DecisionTree,Original,0.7154,0.7429,0.7154,0.7236,,,0.383,0.3904,,,,,,
DecisionTree,TVAE,0.7317,0.7149,0.7317,0.6952,,,0.2584,0.293,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.5854,0.5396,0.5854,0.5573,,,-0.0725,-0.0754,,,,,,
RandomForest,CTGAN,0.6992,0.7904,0.6992,0.5834,,,0.036,0.1354,,,,,,
RandomForest,GaussianCopula,0.7317,0.7228,0.7317,0.6831,,,0.232,0.2852,,,,,,
RandomForest,Original,0.8374,0.8427,0.8374,0.8252,,,0.576,0.6032,,,,,,
RandomForest,TVAE,0.7317,0.7434,0.7317,0.6685,,,0.2036,0.2851,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
